Sigla,Código,Município,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,
AL,2706703,Penedo,,,,13.320913506,15.4532003983,10.0689909322,9.4301656604,8.8596870374,5.8176430239,3.2527001501,3,2.7696076348,1.7105351143,2.3866918421,2.950721257,15.7732179524,13.3220662422,10.4026100025,35.7218392514,35.9596234353,48.5495868689077,46.6807289246642,25.7975173786262,27.8027055158015,68.932997589191,
AL,2706802,Piaçabuçu,,,,3.3302283765,9.2719202391,8.6305636561,8.0829991375,8.8596870374,8.1447002334,7.5896336835,,,41.0528427443,10.3423313156,22.8680897419,54.863366791,27.9129006979,15.2979558861,9.9552666766,11.2373823235,10.5542580149799,21.9399425945922,17.6283035420613,16.7633959727626,16.5439194214058,
AL,2706901,Pilar,,,,,9.2719202391,7.1921363802,5.3886660916,5.0626783071,6.9811716287,4.3369335334,4,3.6928101797,,,,,,,,,,,,,,
AL,2707008,Pindoba,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,2707107,Piranhas,,,,,6.1812801594,21.5764091403,32.3319965501,24.0477219588,20.943514886,42.285101951,71,78.4722163193,22.2369564865,25.4580463152,31.720253513,13.0300496129,11.4189139219,15.9098741215,14.6400980539,17.4179426015,20.0530902284619,23.3403644623321,60.1942072167945,64.1915406761887,92.1732653478326,
AL,2707206,Poço das Trincheiras,,,,,,1.4384272761,2.6943330459,1.2656695768,,1.0842333834,1,0.9232025449,,3.9778197368,,1.3715841698,7.6126092813,8.5668552962,3.5136235329,12.9229896721,12.1373967172269,16.3382551236325,37.8363588219851,38.4331517424314,35.4512559030125,
AL,2707305,Porto Calvo,,,,71.599910095,49.4502412747,24.4532636924,33.679163073,35.43874815,6.9811716287,4.3369335334,4,3.6928101797,8.5526755717,7.9556394735,8.1144834568,8.9152971035,6.3438410677,29.3720753013,40.9922745508,44.9495292942,37.9953288539278,54.6164528418571,42.1359450517562,45.3838281213818,64.2061634687894,
AL,2707404,Porto de Pedras,,,,14.9860276944,16.9985204383,12.9458454842,8.0829991375,7.5940174608,2.3270572096,,1,0.9232025449,2.5658026715,2.3866918421,2.2130409428,2.0573762547,9.5157616016,8.5668552962,8.1984549102,7.8661676265,12.6651096179759,25.6744009085653,42.9958622977104,49.0635979690614,78.7805686733612,
AL,2707503,Porto Real do Colégio,,,,3.3302283765,3.0906400797,2.876854552,2.6943330459,2.5313391537,1.1635286048,1.0842333834,1,0.9232025449,0.8552675572,0.7955639474,2.2130409428,2.0573762547,,,,,,,,1.22658994922653,5.12073696376848,
AL,2707602,Quebrangulo,,,,11.6557993177,13.9078803586,11.5074182081,6.7358326145,5.0626783071,4.6541144191,7.5896336835,12,5.5392152696,7.6974080146,11.9334592103,11.0652047138,13.7158416978,8.246993388,7.9549370608,7.612850988,9.551774975,10.5542580149799,12.1369895204127,8.16921383656497,8.1772663281769,9.84757108417015,
AL,2707701,Rio Largo,,,,,,,,,4.6541144191,4.3369335334,9,10.1552279943,,,,,,,,,,,,,,
AL,2707800,Roteiro,,,,,,,,,,,,,,,,,,,1.1712078443,1.1237382324,1.05542580149799,2.80084373547985,10.7489655744276,44.1572381721553,38.2085758065802,
AL,2707909,Santa Luzia do Norte,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,2708006,Santana do Ipanema,,,,,6.1812801594,50.3449546608,21.5546643667,27.8447306894,25.5976293051,84.5702039021,38,37.8513043423,1.7105351143,65.2362436827,61.9651463975,19.8879704618,13.956450349,33.6555029494,23.4241568862,50.5682204559,56.9929932808917,52.2824163956239,53.744827872138,58.4674542464648,85.8708198539637,
AL,2708105,Santana do Mundaú,,,,,,8.6305636561,10.7773321834,8.8596870374,6.9811716287,9.7581004502,12,9.2320254493,9.4079431289,7.1600755262,15.4912865994,15.0874258675,14.5908344557,33.043584714,55.6323726047,70.7955086383,116.624551065528,52.7492236848706,67.9334624303824,71.5510803715479,82.7195971070292,
AL,2708204,São Brás,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,2708303,São José da Laje,,,,,,,,,,,,,,,,13.7158416978,8.8813774948,,,,,,,,,
AL,2708402,São José da Tapera,,,,14.9860276944,20.0891605178,50.3449546608,41.7621622105,44.2984351874,33.7423295386,32.5270015008,15,37.8513043423,12.8290133576,33.4136857887,39.8347369698,19.8879704618,12.6876821354,7.9549370608,8.1984549102,23.5985028794,22.1639418314579,51.8156091063773,47.2954485274814,54.3788210823764,70.9025118060251,
